Keyword,来源,意图,建议归属页,优先级,月搜量(Planner填),备注
custom pens australia,矩阵+补全,核心商业,/branded-pens-australia(主词),P1,,已是类目页主词
promotional pens australia,补全+竞品,核心商业,/branded-pens-australia(辅词),P1,,竞品全在打;title 已含 branded 可兼顾
branded pens australia,矩阵,核心商业,/branded-pens-australia,P1,,现 title 主词
personalised pens australia,补全+竞品,核心商业,/branded-pens-australia 辅 或未来独立页,P1,,注意 s 拼法;竞品高频
custom printed pens,竞品,核心商业,/branded-pens-australia 文案内,P2,,
promotional pens with logo australia,补全,长尾商业,/branded-pens-australia 文案内,P1,,补全里有 AU 版=真实需求
custom pens with logo,补全,长尾商业,文案内自然覆盖,P2,,
custom pens bulk,补全,长尾商业(量大),文案 By budget 段,P1,,B2B 强信号
personalised pens bulk,补全,长尾商业,同上,P2,,
cheap promotional pens / promotional pens cheap,补全+竞品,长尾商业(价格敏感),Under $1 段落,P2,,290 款 <$2 是我们的弹药
custom pens for business,补全,长尾商业,开头段自然覆盖,P2,,
personalised pens no minimum order,补全,长尾(低MOQ),低 MOQ 落地页(L6 规划),P2,,MOQ 25 起的货可支撑;别承诺 no minimum
engraved pens australia,补全,长尾商业,/custom-metal-pens-australia(金属子类),P1,,laser engraving 174 款支撑
engraved pens bulk,补全,长尾商业,同上,P3,,
promotional pens with stylus,补全,长尾商业,/custom-stylus-pens-australia,P2,,40 款支撑
custom metal pens australia,矩阵,子类核心,/custom-metal-pens-australia,P1,,69 款
eco pens australia / bamboo pens australia,矩阵,子类核心,/eco-pens-australia,P1,,105 款;eco 差异点
custom highlighters australia,矩阵,子类核心,/custom-highlighters-australia,P3,,35 款
custom pencils australia,矩阵,子类核心,/custom-pencils-australia,P3,,16 款
black promotional pens,已有归属,颜色长尾,颜色集合页(已有),P1,,252 款黑色
how much do custom pens cost,补全(问句),信息→商业,类目 FAQ(已写)+ 未来 blog,P1,,FAQ 第 1 条正中此词
how much do promotional pens cost,补全(问句),信息→商业,同上,P2,,同一 FAQ 双杀
custom pens and notepads,补全,组合需求,未来 bundle/Merch Pack 线索,P3,,记进 Merch Pack 规划
red promotional pens,KWE插件,颜色长尾,颜色集合页候选(157 款红),P2,,等 Planner 量级排序
white promotional pens,KWE插件,颜色长尾,颜色集合页候选(140 款白),P2,,同上
blue promotional pens,KWE插件,颜色长尾,颜色集合页候选(202 款蓝),P2,,同上
gel promotional pens / promotional gel pens,KWE插件,笔型,⚠ 先查供给:有 gel 款才建,P3,,供给筛未过
promotional pens blue ink / black ink / ink pens,KWE插件,笔芯颜色,不建页;类目页文案+FAQ 一句接住,--,,Ink Colour filter 已有(黑109/蓝32)
promotional pens for small business,KWE插件,长尾商业,类目页开头段/未来 blog 角度,P3,,小企业角度好素材
best promotional pens (for business),KWE插件,问句/评估,blog《Best promotional pens 2026》,P2,,组7
bic promotional pens,KWE插件,品牌词,Brands filter 接;量大再建页(Bic 30 款),P3,,组8
personalised pens officeworks,补全,竞品词,不打;情报,--,,买家拿 Officeworks 比价→FAQ/文案强调 free proof+bulk 价优
engraved pens gift / for men,补全,B2C 礼品,不打(非 B2B 主场),--,,除非以后做礼品线
promotional pens uk / canada / nz / goldstar,KWE插件,非目标,剔除:非澳洲地域 + goldstar 是行业供应商品牌,--,,挖词器过滤规则已含
