slug,page_type,source_type,source_label,primary_keyword,title,h1,meta_description,product_filter,status,priority,show_in_home,show_in_nav,show_in_footer,breadcrumb_parent,related_urls,noindex,notes
custom-merch-kits-australia,collection,collection,Custom Merch Kits,custom merch kits Australia,Custom Merch Kits Australia | Branded Kits & Bundles,Custom Merch Kits Australia,"Build branded merch kits, gift sets and event bundles using products from QuirkyPromo categories, with options for packaging and custom quote support.","{""type"":""kit_collection"",""kit_themes"":[""employee_onboarding"",""conference_event"",""office_school"",""wellness_care"",""beach_outdoor"",""food_drink_gifting"",""eco_sustainable"",""tech_gift_set"",""premium_corporate_gift"",""general_corporate_gifting""],""offer_types"":[""prebuilt_kit"",""prebuilt_bundle"",""gift_set"",""hamper"",""custom_kit_template""],""include_all_kit_candidates"":true}",draft,100,false,true,true,,[],false,Hub page. It can show all kit candidates and custom kit templates.
employee-onboarding-kits-australia,collection,collection,Employee Onboarding Kits,employee onboarding kits Australia,Employee Onboarding Kits Australia | Branded Welcome Packs,Employee Onboarding Kits Australia,"Create branded employee onboarding kits with notebooks, pens, drink bottles, bags, apparel, tech gifts and custom packaging.","{""type"":""kit_collection"",""kit_themes"":[""employee_onboarding"",""office_school""],""offer_types"":[""prebuilt_kit"",""prebuilt_bundle"",""gift_set"",""custom_kit_template""]}",draft,95,false,true,true,custom-merch-kits-australia,[],false,Can include office_school candidates when the product is suitable as a welcome/work pack.
conference-event-kits-australia,collection,collection,Conference & Event Kits,conference event kits Australia,Conference Event Kits Australia | Branded Event Packs,Conference & Event Kits Australia,"Plan branded conference kits and event packs with lanyards, tote bags, notebooks, pens, drink bottles and practical giveaway items.","{""type"":""kit_collection"",""kit_themes"":[""conference_event""],""offer_types"":[""prebuilt_kit"",""prebuilt_bundle"",""gift_set"",""custom_kit_template""]}",draft,90,false,true,true,custom-merch-kits-australia,[],false,"Event-specific collection. Good internal links to lanyards, tote bags and notebooks."
corporate-gift-sets-australia,collection,collection,Corporate Gift Sets,corporate gift sets Australia,Corporate Gift Sets Australia | Branded Gift Boxes & Hampers,Corporate Gift Sets Australia,"Source branded corporate gift sets and hampers with drinkware, barware, homewares, confectionery and premium packaging options.","{""type"":""kit_collection"",""kit_themes"":[""food_drink_gifting"",""general_corporate_gifting"",""premium_corporate_gift""],""offer_types"":[""gift_set"",""hamper"",""prebuilt_kit"",""custom_kit_template""]}",draft,96,false,true,true,custom-merch-kits-australia,[],false,"Primary home for supplier gift sets, hampers, food/drink gifting and premium gifting."
wellness-gift-packs-australia,collection,collection,Wellness Gift Packs,wellness gift packs Australia,Wellness Gift Packs Australia | Branded Care Packs,Wellness Gift Packs Australia,"Create branded wellness gift packs and care kits with personal care items, drinkware, packaging and practical promotional products.","{""type"":""kit_collection"",""kit_themes"":[""wellness_care""],""offer_types"":[""prebuilt_kit"",""gift_set"",""custom_kit_template""]}",draft,82,false,true,true,custom-merch-kits-australia,[],false,Keep separate from medical claims; this is promotional wellness/care gifting.
eco-merch-kits-australia,collection,collection,Eco Merch Kits,eco merch kits Australia,Eco Merch Kits Australia | Sustainable Branded Bundles,Eco Merch Kits Australia,"Build eco merch kits with reusable bags, drinkware, notebooks, pens, packaging and sustainable branded product options.","{""type"":""kit_collection"",""kit_themes"":[""eco_sustainable""],""offer_types"":[""prebuilt_kit"",""gift_set"",""custom_kit_template""]}",draft,80,false,true,true,custom-merch-kits-australia,[],false,"Works with eco filter pages and sustainability content, but remains a collection/kit page."
tech-gift-sets-australia,collection,collection,Tech Gift Sets,tech gift sets Australia,Tech Gift Sets Australia | Branded Technology Bundles,Tech Gift Sets Australia,"Source branded tech gift sets with chargers, speakers, earbuds, power banks, office items and custom packaging options.","{""type"":""kit_collection"",""kit_themes"":[""tech_gift_set""],""offer_types"":[""gift_set"",""prebuilt_kit"",""custom_kit_template""]}",draft,86,false,true,false,custom-merch-kits-australia,[],false,Supplier candidates are strong here. Internal link to Technology category.
outdoor-event-kits-australia,collection,collection,Outdoor Event Kits,outdoor event kits Australia,Outdoor Event Kits Australia | Beach & Summer Merch Packs,Outdoor Event Kits Australia,"Create outdoor event kits and beach merch packs with bags, drinkware, towels, sunglasses, picnic gear and branded summer items.","{""type"":""kit_collection"",""kit_themes"":[""beach_outdoor""],""offer_types"":[""prebuilt_kit"",""gift_set"",""custom_kit_template""]}",draft,78,false,true,false,custom-merch-kits-australia,[],false,Seasonal and event-heavy. Can support summer campaign pages later.
new-home-gift-kits-australia,landing,collection,New Home Gift Kits,new home gift kits Australia,New Home Gift Kits Australia | Settlement Gift Packs,New Home Gift Kits Australia,"Create new home gift kits for property handovers with homewares, drinkware, barware, confectionery and branded packaging.","{""type"":""kit_template"",""kit_themes"":[""new_home""],""offer_types"":[""custom_kit_template""],""source"":""manual_template_from_existing_categories""}",draft,84,false,true,false,custom-merch-kits-australia,[],false,"Strategic QuirkyPromo-created template. Source from category products, not necessarily supplier prebuilt kits."
premium-corporate-gift-sets-australia,collection,collection,Premium Corporate Gift Sets,premium corporate gift sets Australia,Premium Corporate Gift Sets Australia | Executive Branded Gifts,Premium Corporate Gift Sets Australia,"Plan premium corporate gift sets and executive branded gifts with quality drinkware, tech, barware, homewares and packaging.","{""type"":""kit_collection"",""kit_themes"":[""premium_corporate_gift""],""offer_types"":[""gift_set"",""hamper"",""custom_kit_template""]}",draft,76,false,false,true,custom-merch-kits-australia,[],false,Can be linked from corporate gift sets page instead of top nav until content is ready.
office-and-school-kits-australia,collection,collection,Office & School Kits,office kits Australia,Office & School Kits Australia | Branded Stationery Packs,Office & School Kits Australia,"Create branded office kits and school packs with notebooks, pens, bags, stationery and packaging options.","{""type"":""kit_collection"",""kit_themes"":[""office_school""],""offer_types"":[""prebuilt_kit"",""gift_set"",""custom_kit_template""]}",draft,62,false,false,false,custom-merch-kits-australia,[],false,Support page. Many items can also appear in employee onboarding kits.
