product_code,product_name,category,subcategory,custom_any_colour,colours
129577,Sabian Lunch Cooler Bag,Bags,Cooler Bags,N,Natural
129578,Aden Lunch Cooler Bag,Bags,Cooler Bags,N,Natural
129580,Eon Spinner Pen,Pens,Novelty Pens,N,Gunmetal|White|Yellow|Orange|Red|Forest Green|Light Blue|Royal Blue|Navy|Black
129615,Cora Coffee Mug,Drinkware,Mugs,N,White|Yellow|Orange|Red|Bright Green|Teal|Light Blue|Dark Blue|Black
129621,Frontier Ridge Beanie,Headwear,Beanies,N,Ecru|Pine Green|Black
129665,Corsica Coffee Cup,Drinkware,Coffee Cups,N,White|Yellow|Orange|Pink|Red|Bright Green|Dark Green|Teal|Light Blue|Royal Blue|Navy|Purple|Black
129689,SPICE Waste2Gear Umbrella,Outdoor & Sports,Umbrellas,N,Black
129697,Barista Stackable Coffee Mug,Drinkware,Mugs,N,Ecru|White|Red|Royal Blue|Dark Grey|Black
129698,Baseline Pickleball Set,Outdoor & Sports,Sports Products,N,Black
129699,Neoprene Cup Sleeve - Small,Barware & Accessories,Stubby Holders,Y,
129700,Neoprene Cup Sleeve - Medium,Barware & Accessories,Stubby Holders,Y,
129702,PVC Key Covers,Giveaways & Event Accessories,Novelty Giveaways,Y,
129704,Pulse Sports Cap,Headwear,Caps,N,Black
129721,Sonny Custom Bucket Hat with Full Colour Patch,Headwear,Bucket Hats,Y,
129722,Sonny Custom Bucket Hat with Embroidery Patch,Headwear,Bucket Hats,Y,
129723,Terry Towelling Bucket Hat with Full Colour Patch,Headwear,Bucket Hats,Y,
129724,Custom Reversible Twill/Terry Bucket Hat,Headwear,Bucket Hats,Y,
129725,Cabana Custom Wide Brim Hat,Headwear,Wide Brim Hats,Y,
129726,Custom Cozy Socks,Apparel,Socks,Y,
129728,Custom Elastic Headband,Apparel,Apparel Accessories,Y,
129729,Custom Lightweight Scarf,Apparel,Scarves & Gloves,Y,
129730,Custom Knitted Slippers,Apparel,Apparel Accessories,Y,
129734,Frontier Rapid Dry Towel,Outdoor & Sports,Towels,N,Olive
129735,Frontier Torrent Camping Blanket,Outdoor & Sports,Blankets,N,Black
133391,Custom Mens Active Tank Top,Apparel,Teamwear,Y,
133392,Custom Womens Active Tank Top,Apparel,Teamwear,Y,
133393,Custom Youth Active Tank Top,Apparel,Teamwear,Y,
133394,Custom Mens Active T-Shirt,Apparel,T-Shirts,Y,
133395,Custom Womens Active T-Shirt,Apparel,T-Shirts,Y,
133396,Custom Youth Active T-Shirt,Apparel,T-Shirts,Y,
133397,Custom Mens Active V-Neck T-Shirt,Apparel,T-Shirts,Y,
133398,Custom Womens Active V-Neck T-Shirt,Apparel,T-Shirts,Y,
133399,Custom Mens Active Polo,Apparel,Polo Shirts,Y,
133400,Custom Womens Active Polo,Apparel,Polo Shirts,Y,
133401,Custom Youth Active Polo,Apparel,Polo Shirts,Y,
133402,Custom Mens Active Pants,Apparel,Pants & Shorts,Y,
133403,Custom Womens Active Pants,Apparel,Pants & Shorts,Y,
133404,Custom Youth Active Pants,Apparel,Pants & Shorts,Y,
133405,Custom Mens Active Shorts,Apparel,Pants & Shorts,Y,
133406,Custom Womens Active Shorts,Apparel,Pants & Shorts,Y,
133407,Custom Youth Active Shorts,Apparel,Pants & Shorts,Y,
133562,Cruise Custom Cap with Full Colour Patch,Headwear,Caps,Y,
133563,Falcon Custom Cap with Full Colour Patch,Headwear,Caps,Y,
133655,Custom Mens Active Hoodie,Apparel,Hoodies,Y,
133656,Custom Womens Active Hoodie,Apparel,Hoodies,Y,
133657,Custom Youth Active Hoodie,Apparel,Hoodies,Y,
133807,Kadi Carry-On Suitcase - Business,Bags,Travel & Duffle Bags,N,Charcoal
133808,Kadi Carry-On Suitcase - Leisure,Bags,Travel & Duffle Bags,N,Pebble
133809,Kadi Check-In Suitcase - Medium,Bags,Travel & Duffle Bags,N,Charcoal
133810,Kadi Check-In Suitcase - Large,Bags,Travel & Duffle Bags,N,Charcoal
133811,Skullcandy Icon 180 Wireless Headphones,Technology,Earbuds & Headphones,N,Black
133812,HangFindy Bluetooth Tracker,Technology,Tech Accessories,N,White|Black
133813,Bodum Brazil French Press 1L,Home & Living,Kitchen & Dining,N,Black
133814,Bodum Brazil French Press 350ml,Home & Living,Kitchen & Dining,N,Black
133815,Bodum Assam Tea Press,Drinkware,Teaware,N,Black
133816,Bodum Pavina Double Wall Glasses - Medium - Set of 2,Drinkware,Glassware,N,Clear
133817,Bodum Bistro Double Wall Mugs - Set of 2,Drinkware,Glassware,N,Clear
133818,Bodum Pavina Double Wall Glasses - Large - Set of 2,Drinkware,Glassware,N,Clear
